Org,hits
BOOST-MOBILE,28.0
BRADFORD-BROADBAND,1.0
BRADYCOM,2.0
BRAZORIA-INET,12.0
BRAZOS-INTERNET,6.0
BRAZOSWIFI,7.0
BRESNAN-33588,84.0
BRIGHTRIDGE,13.0
BRMEMC,1.0
BRNL,1.0
BROADBANDONDEMAND,2.0
BROADCAST-NETWORKS,24.0
BRSK Limited,2.0
BRSPD-PUBLIC,918.0
BTC-AS-1,33.0
BTC-BROADBAND,7.0
BTC-ONLINE,6.0
BTES-AS,24.0
BUCKEYECABLEVISION,152.0
BULLOCH,24.0
BUZZ-BROADBAND,13.0
BWFN-PRIME,1.0
Bahnhof AB,70.0
Bangladesh Research and Education Network BdREN,9.0
"Beijing Baidu Netcom Science and Technology Co., Ltd.",12.0
"Beijing Tiantexin Tech. Co., Ltd.",35.0
"Beijing Volcano Engine Technology Co., Ltd.",519.0
Bharti Airtel Ltd. AS for GPRS Service,545.0
"Bharti Airtel Ltd., Telemedia Services",4.0
Black HOST Ltd,65.0
Blix Solutions AS,23.0
Bouygues Telecom SA,1039.0
Brain Telecommunication Ltd.,2.0
British Telecommunications PLC,5.0
Bucklog SARL,525.0
Byteplus Pte. Ltd.,122.0
CA-1546-ASN-1,29.0
CABLE-NET-1,4638.0
CABLEBAHAMAS,1.0
CABLELYNX,124.0
CABLEONE,756.0
CAJUN-BROADBAND,2.0
CAMELLIA-FIBER,3.0
CAMERON-COMMUNICATIONS,10.0
CANET-ASN-4,2.0
"CANTV Servicios, Venezuela",9.0
CARINET,206.0
CAROLINACONNECT-01,72.0
CAROLINAWEST-WIRELESS,38.0
CASAIR,3.0
CASCADE-ACCESS-LLC-CA-ESTOR1,1.0
CASSCOMM,14.0
"CAT TELECOM Public Company Ltd,CAT",2.0
CAT Telecom Public Company Limited,76.0
CBK-AS,2.0
CCI-PA-AS-1,4.0
CCI-TEXAS,31.0
CCINET,9.0
CCRTC,12.0
CCT-LLC,4.0
CDELIGHTBAND,148.0
CDSC-AS1,113.0
CELLCO-PART,3930.0
CENIC-2152,33.0
CENSYS-ARIN-01,2199.0
CENSYS-ARIN-02,761.0
CENSYS-ARIN-03,333.0
CENTRALUTAH,50.0
CENTRICTX-ASN,12.0
CENTURYLINK-LEGACY-LIGHTCORE,2.0
CENTURYLINK-US-LEGACY-QWEST,1331.0
CFEC-1,5.0
CHANUTE,1.0
CHARTER-20115,8111.0
CHEAPY-HOST,4092.0
CHICKTEL-AS-1,2.0
CHINA UNICOM China169 Backbone,231.0
CHINANET Guangdong province Shenzhen MAN network,2.0
CHINANET Guangdong province network,201.0
CHINANET Hubei province network,61.0
CHINANET SHAANXI province Cloud Base network,113.0
CHINATELECOM Guangdong province Zhuhai 5G network,11.0
"CHINATELECOM Guangxi Nanning IDC networkdescr: NanningGuangxi Province, P.R.China.",4.0
CHINATELECOM Jiangsu province Suzhou 5G network,1.0
CHISHOLMBB,38.0
CITIZENS,3.0
CITY-OF-VINTON-01,8.0
CITYNET,3.0
CITYOFWILSONNC,33.0
CJSC Kolomna-Sviaz TV,4.0
CLARITY-TELECOM,34.0
CLASSICSOUTHCOMM,1.0
CLEARNETWORX,3.0
CLEARWAVE-COMMUNICATIONS,36.0
CLEARWAVE-FIBER,2.0
CLIK,11.0
CMC Telecom Infrastructure Company,2.0
CMSINTERNET,2.0
CNSERVERS,2.0
CNSNEXT,16.0
CNSP-ASN,9.0
CO-MO-COMM,53.0
COASTAL-BGP,2.0
COASTCONNECT-01,30.0
COGENT-174,509.0
COL-LPC,10.0
COLUMBIAPWS,9.0
COLUMBUS-TEL-KS,3.0
COM1-ASN,48.0
COMCAST-7922,38218.0
COMCELL4236207,5.0
COMELEC-DUB-01,49.0
COMMUNITY-INTERNET-PROVIDERS,20.0
COMTEL,1.0
CONECTEC NET LTDA,10.0
CONEXON-CONNECT,200.0
CONNECT2FIRST-LLC,42.0
CONNEXT-BROADBAND,6.0
CONSOLIDATED FLORIDA,2.0
CONSOLIDATED-ELECTRIC-COOPERATIVE,4.0
CONWAYCORP,35.0
COOPERATIVE-CONNECTION-01,16.0
CORVA,4.0
COSLINK,12.0
COTCCONNECTIONS,5.0
COTNET,5.0
COUNTRY-CONNECTIONS-LLC,2.0
CP-TEL,14.0
CROWNCASTLE-AS33132,2.0
CROWNCASTLE-AS46887,19.0
CROWSNEST-BROADBAND-LLC,5.0
CS-TECH-INC,8.0
CSMIII-BUNKIELA,3.0
CSSBB,7.0
CSSNW,2.0
CT-EDU-NET,2.0
CT-HangZhou-IDC,377.0
CTC,2.0
CTC-INTERNET,1.0
CTCI,1.0
CTELCO,51.0
CTIFIBER,8.0
CTS-MONTICELLO,4.0
CTSTELECOM,5.0
CUMBERLAND-CONNECT,42.0
CVALLEY,38.0
CVSI-FIREFLY,14.0
CVT,125.0
CWAVEFIBER,64.0
Cable Onda,4.0
Canonical Group Limited,10.0
Charotar Telelink Pvt Ltd,1.0
China Education and Research Network Center,43.0
"China Mobile Communications Group Co., Ltd.",163.0
China Mobile communications corporation,46.0
China Telecom,116.0
China Telecom Beijing Tianjin Hebei Big Data Industry Park Branch,4.0
China Telecom Group,698.0
China Unicom Beijing Province Network,206.0
China Unicom Guangzhou network,3.0
China Unicom IP network China169 Guangdong province,2.0
China Unicom Shanghai network,2.0
China Unicom Shenzen network,2078.0
Chinanet,399.0
Chongqing Telecom,4.0
Claro NXT Telecomunicacoes Ltda,117.0
Cloud Computing Corporation,280.0
"Cloud Hosting Solutions, Limited.",82.0
Cloudie Limited,1.0
Clouvider Limited,9.0
ColocaTel Inc.,12.0
Columbus Communications Trinidad Limited.,5.0
Contabo GmbH,66.0
Converge ICT Solutions Inc.,4.0
Cooperative Afra ertebatat-e-sabet-e Rasa Co,2.0
Coral Telecom N.V.,2.0
Cotel Ltda.,2.0
Creolink,129.0
Crossnet LLC,2.0
CtrlS,235.0
Cyber Internet Services Pvt Ltd.,8.0
D-Vois Broadband Pvt Ltd,1.0
DALTON-UTILITIES-OPTILINK,51.0
DAYSTARR-NET,35.0
DCM-CABLE,10.0
DEDIOUTLET-NETWORKS,512.0
DEFASTLINK,111.0
DEKALB,6.0
DELCOM-ASN,3.0
DELIGHTSPEED-01,11.0
DESERTGATE,2.0
DIGITALC,4.0
DIGITALOCEAN-ASN,129295.0
DMCI-BROADBAND,4.0
DOBSON-ASN-02,46.0
DOBSONTECHTTS,3.0
DOMAINTOOLS,1.0
DOVETEL,22.0
DPCOM-ASN05222010,10.0
DTCCAAS,7.0
DWL-MAIN,4.0
DYNU,15454.0
Damash Software Computer Services LTD,1.0
Data Communication Business Group,164.0
Datacamp Limited,1673.0
Detai Prosperous Technologies Limited,397.0
Digi Romania S.A.,15.0
Digibit Technologies Ltd,4.0
Digital United Inc.,1.0
Dm Auto Eood,2.0
Dorabase Veri Merkezi Hizmetleri A.S.,125.0
Driftnet Ltd,195.0
EASTMSCONNECT-01,47.0
EATEL,38.0
ECARTHAGE,5.0
ECHOBROADBAND,2.0
ECOLINK-01,2.0
EDGAR RODRIGUES ROMAO FILHO ME,14.0
EIDG-AS1,64.0
ELJY30540,76.0
EMPIRE-40545,32.0
EMPOWER,1.0
ENERGIZE,5.0
ENERGYNET,11.0
ENET,2.0
ENLIGHTENED-BY-WOODRUFF-ELECTRIC-LLC,1.0
ENVENTIS,3.0
EPBTELECOM,424.0
ETC,29.0
ETEX-COMMUNICATIONS,16.0
EU-FTTH,1.0
EVERTEK,6.0
EVERYWHERE-WIRELESS-LLC,4.0
EXPOHL,2.0
"EZECOM CO., LTD.",3.0
"Eastern Telecoms Phils., Inc.",5.0
EuroByte LLC,1.0
Evolution Wireless Ltd,1.0
FARMERS-TELECOMMUNICATIONS-COOPERATIVE-INC,26.0
FASTBRIDGE-FIBER-RDNG-PA-01,6.0
FASTLY,2.0
FBCOM,11.0
FBEMC-ASN,5.0
FDCSERVERS,3.0
FDEC-FIBER,5.0
FEWPB,8.0
FIBER-SOUTH-01,10.0
FIBERNET-NETWORK-OPERATIONS-CENTER,1.0
FIBERWAVE01,3.0
FIDN,82.0
FILERTELEPHONE,12.0
FIRSTDIGITAL,2.0
FIVEA-AS1,4.0
FLYING-BULL-INTERNET,11.0
FMTC-STANTON,10.0
FMTI-BBR-RT4743,2.0
FMTJESUP,2.0
FNL-33-19754,8.0
FOCUS-BROADBAND,157.0
FOP Dmytro Nedilskyi,124.0
FORT-COLLINS-CONNEXION,34.0
FPT Telecom Company,4.0
FRANKLIN-KY-FIBERNET,8.0
FRONTIER-AND-CITIZENS,2.0
FRONTIER-FRTR,3396.0
FRTCCNET,27.0
FSU-AS-1,11.0
FTC-ASN1,4.0
FTC-INET,161.0
FUSE-NET,743.0
FVI-CHI,3.0
FYBERCOM,9.0
Fast Communication Company Ltd,2.0
Fastweb,104.0
Florian Kolb,4.0
Flyservers S.A.,1.0
Fredrik Holmqvist,1.0
"FreeBit Co.,Ltd.",1.0
G-Core Labs S.A.,24.0
GATEWAY-FIBER,42.0
GCBB,2.0
GCI,38.0
GEMC,23.0
GENESEO-IL,1.0
GEPB2009,3.0
GIGSOUTH,5.0
GIGSTREEM,20.0
GLOBAL COMMUNICATION NETWORK LIMITED,16.0
GMO GlobalSign Holdings K.K.,757.0
GOEASTON,10.0
GOOGLE,32.0
GOOGLE-CLOUD-PLATFORM,6878.0
GOOGLE-FIBER,676.0
GORGE-NETWORKS,2.0
GOSEMO-LLC,49.0
GRANDECOM-AS1,176.0
GRAYSON-COLLIN-COMMUNICATIONS,3.0
GREAT-PLAINS-COMMUNICATIONS,14.0
GREENFIELD-COMMUNICATIONS,6.0
GREENLIGHT-NETWORKS,34.0
GRTI-NW,3.0
GSL Networks Pty LTD,3669.0
GTEK-COMMUNICATIONS,8.0
GTT Communications Inc.,53.0
GVEC-NET,11.0
GVTCINTERNET,41.0
GVTEL,4.0
GWTC,8.0
Galeon LLC,100.0
Gigabit Hosting Sdn Bhd,12.0
Giganet Internet Szolgaltato Kft,2.0
GleSYS AB,110.0
Global Connectivity Solutions Llp,485.0
Global Internet Solutions LLC,126.0
Global Layer B.V.,445.0
"Global Technology Co., Ltd.",2.0
Global-Data System IT Corporation,35.0
GlobalConnect AB,1.0
Green Web Samaneh Novin PJSC,112.0
HARCOM1,88.0
HARDYNET,8.0
HARLANONLINE,20.0
HARMONYTELCO,4.0
HART-COMMUNICATIONS,2.0
HAWAIIAN-TELCOM,47.0
HBCI-1999TA,2.0
HBCOMM,1.0
HBPW,2.0
HCAS-6,6.0
HCS,1.0
HCTC-LINK1,16.0
HENGTONG-IDC-LLC,12.0
HERITAGE-BROADBAND-LLC,7.0
HGC Global Communications Limited,1.0
HGE-NET,8.0
HIGHERSPEED,2.0
HIGHLANDTEL,22.0
HIGHLINE-AS,12.0
HINTON,2.0
HIT,30.0
HKT Limited,2.0
HLL LLC,3.0
HNS-DIRECPC,114.0
HOLSTON-1,27.0
HOMESC,35.0
HOMEWORKS-1,4.0
HONEST,7.0
HOOD-CANAL,8.0
HOR.NET Polska Sp.z o.o.,1.0
HORIZONCHILLICOTHETELEPHONE,2.0
HORIZONTELCOM,3.0
HORMUUD,173.0
HOTWIRE-COMMUNICATIONS,223.0
HRTC,4.0
HTC-NET,27.0
HTTVSERVER TECHNOLOGY COMPANY LIMITED,113.0
HUAWEI CLOUDS,7.0
HUGHESNET-CDN,2.0
HURRICANE,1380.0
HUXCOMM-01,1.0
HWL-BROADBAND-01,2.0
HYPERFIBER-01,11.0
HYUNDAI COMMUNICATIONS NETWORK,2.0
"Hangzhou Alibaba Advertising Co.,Ltd.",639.0
Hathway IP Over Cable Internet,108.0
Henan Luoyang IDC,1.0
"Henan Mobile Communications Co.,Ltd",1.0
Hero-Telecoms,5.0
Hetzner Online GmbH,12.0
Hi3G Access AB,2.0
Home Broadband Services LLP,2.0
Hostglobal.plus Ltd,142.0
Hrvatski Telekom d.d.,1.0
Huawei Cloud Service data center,9.0
Hydra Communications Ltd,4.0
I3-BROADBAND-RI,16.0
I3BROADBAND,181.0
ICS-LLC,4.0
IMONC,43.0
IMU,15.0
INDEPENDENTSFIBERNETWORK,8.0
INFINITYLINK,20.0
INFINIUM,2.0
INFOSYSTEM TELECOMUNICACOES E INFORMATICA EIRELLI,5.0
INOC,2.0
INS-AS,1.0
INTEGRITY,8.0
INTERCEPT,1.0
INTERNET-SOLUTIONS,4.0
IONOS SE,1220.0
IP Volume inc,20485.0
IQ-FIBER,12.0
IRTC-NET,2.0
IRVINE-ICT,1.0
IS-AS-1,59.0
ISOMEDIA-1,4.0
ISP Gipercom LLC,4.0
ISPIXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.,1.0
Individual entrepreneur Kushkhov Azret Ali Alisakhovich,44.0
Inside Network LTD,15.0
International Hosting Company Limited,120.0
Internet Utilities Europe and Asia Limited,488.0
Ishans Network,15.0
JACKSON-CO-REMC,8.0
JACKSONENERGY-EPL,14.0
JC-39-AS,5.0
"JCOM Co., Ltd.",5.0
JCWIFI,2.0
JECNET,2.0
JHU,15.0
JO-CARROLL-ENERGY,4.0
JOTAZO TELECOM,3.0
JRW-10,1.0
JSC ER-Telecom Holding,10.0
JSC Kazakhtelecom,3.0
JSC Kazteleport - subsidiary of Halyk Bank of Kazakhstan,1.0
JSC Selectel,110.0
JSC Ufanet,154.0
JSC Ukrtelecom,1.0
JW-FLASHFIBER-01,11.0
JasTel Network,1.0
KAMATERA,40.0
KANOKLA-NETWORKS,1.0
KAPLAN-TELEPHONE,3.0
KENNETT-BOARD-OF-PUBLIC-WORKS,2.0
KINGSBURGMEDIA-01,2.0
KMTELECOM,2.0
KOSCIUSKO-CONNECT-01,6.0
KUB-FIBER-01,23.0
Kakharov Orinbassar Maratuly,3.0
Kamatera Inc,9.0
Kievline LLC,2.0
Korea Cable TV Kwangju Broadcasting,1.0
Korea Telecom,210.0
Kprohost LLC,20.0
Krez 999 Eood,121.0
L&L Investment Ltd.,121.0
LATITUDE-SH,1182.0
LAYER-3-COMMUNICATIONS,2.0
LCOM-NET,1.0
LCTS,10.0
LEACO-INTERNET,6.0
LEVEL3,69.0
LEXNE-ASN-1,12.0
LG DACOM Corporation,8.0
LHTC,43.0
LIBERTY-NETWORKS,4.0
LIMESTONENETWORKS,676.0
LINK BARATO.COM TELECOMUNICACOES EIRELI,114.0
LIVEOAK-FIBER,19.0
LLC Digital Network,2.0
LLI-BLK1,6.0
LOGIC-3855,24.0
LOOP-INTERNET,63.0
LORETTOCOMM,8.0
LRCSNET,9.0
LREC-LRT,4.0
LUMOS,7.0
LUS-FIBER-LCG,10.0
Latitude.sh LTDA,387.0
Layer7 Networks GmbH,466.0
Lazycloud Ltd,624.0
Limited Liability Company TTK-Svyaz,2.0
Limited Network LTD,33.0
Liquid Telecommunications Ltd,3.0
Long Van Soft Solution JSC,131.0
Ltd Maxima,24.0
M dos santos rodrigues,1.0
M-PULSEFIBER,19.0
M247 Europe SRL,95.0
MABELTEL,4.0
MACARNE,2.0
MADISONTELCO,8.0
MAHAMAYA INTERNET SERVICES PRIVATE LIMITED,2.0
MAINSTREAM-FIBER,5.0
MAJESTIC-HOSTING-01,5.0
MANIFOLD,27.0
MASSCOM,20.0
MATINETWORKS,1.0
MAXXSOUTH-BROADBAND,79.0
MCECFIBER-A01,21.0
MCG-NET-1,6.0
MCLLC-RANGE-01,6.0
MCTC1,11.0
MCV SOUSA ME,1.0
MDUPRO,10.0
MEDIACOM-ENTERPRISE-BUSINESS,823.0
MEEKER-01,68.0
MEGADATA-ISP,738.0
MEGALINK S.R.L.,5.0
METALINK,13.0
METRO-WIRELESS,1.0
MEVSPACE sp. z o.o.,2752.0
MHCV-AS1,3.0
MICHIGAN-BROADBAND,1.0
MICROSOFT-CORP-MSN-AS-BLOCK,23344.0
MIDCO-NET,218.0
MIDCO-NET-INV,3.0
MIDSOUTH-FIBER-AS,9.0
MIDWAYNET-ASN,12.0
MIDWEST-ENERGY-AND-COMMUNICATIONS,5.0
MIFFLIN-COUNTY-WIRELESS,7.0
MILEHIGHNETWORKS,30.0
MILES,6.0
MILLRY-TELCO,6.0
MINET01,7.0
MISNET,78.0
MLEC-ASN-1,15.0
MLGC-AS,2.0
MNET,35.0
MOLALLACOM,4.0
MOMENTUM-ACCESS,1.0
MORRISBB,2.0
MOUNT-SINAI,12.0
MPOWER-POWERED-BY-MEC,5.0
MPRTC-ISP,2.0
MPW-MACHLINK-NET,10.0
MRTC-WLBTKY,33.0
MTAONLINE-AS,6.0
MTCCOMM,3.0
MTCO-COMMUNICATIONS,2.0
MTL-19,78.0
MTNBB-S72,1.0
MTS PJSC,1.0
MTWEST,1.0
MULBERRY,2.0
MULTIB-40788,4.0
MULTICABLE-NETWORK-GT-LLC,4.0
MURPHY-CATV,2.0
MUSFIBERNET,2.0
MVLINK,2.0
MW-KANSAS,6.0
MXCLOUD Ltd,1.0
MYAKKATECH1,1.0
MYSERVER-DOT-ORG,1.0
Manquehuenet,2.0
"Maxnet Telecom, Ltd",2.0
Mazeda Networks Limited,119.0
Mega-Max-AS,2.0
Miti 2000 EOOD,91.0
Mobile Telecommunication Company Saudi Arabia Joint-Stock company,4.0
Mobile Telecommunications Company,4.0
MobileOne Ltd. MobileInternet Service Provider Singapore,1.0
N-V-C,2.0
NATURALWIRELESS,8.0
NAXOS TELECOM,1.0
NCREN,2.0
NCTC-ISP,39.0
NE-FIBER-01,11.0
NEAC,13.0
NEB-SANDHILLS-NET,2.0
NEBRASKALINK,2.0
NEFCOM COMMUNICATIONS,2.0
NEPTEL-AS,2.0
NET COM INFORMATICA LTDA - ME,2.0
NETNET-NET,2.0
NETNITCO-ASN,5.0
NETPROTECT-62651,333.0
NETPROTECT-PHX,8.0
NETPROTECT-SP,42.0
NETWORK-SOLUTIONS-HOSTING,7.0
NEWVISIONS-CNY,8.0
NEXBA-1-BGP,3.0
NEXTLINK-TEXAS,52.0
NEXTPOWEREDBYNAECLLC,10.0
NGN,2.0
NKTC,6.0
NLB-ASN,2.0
NNMT,1.0
NOLA-BROADBAND-INC,7.0
NORTHCENTRAL-MS-OB-01,6.0
NORTHLAND-CABLE,30.0
NORTHLANDCOMMUNICATIONS-NC-398,4.0
NS,49.0
NSB1-NET,1.0
NSHE-NEVADANET,19.0
NSTELCO,199.0
NTS-ALEXANDRIA-01,8.0
NTS-DENISON-01,1.0
NTS-HARLINGEN-01,3.0
NTS-LAKECHARLES-01,21.0
NTS-LAREDO-01,2.0
NTS-LASCRUCES-01,6.0
NTS-MCALLEN-01,26.0
NTS-ONLINE,69.0
NTS-SLIDELL-01,7.0
NTS-TYLER-01,14.0
NTSC-ASN2,6.0
NTSPARK,4.0
NTT Communications Corporation,2.0
"NTT PC Communications, Inc.",5.0
NU-107-ASN,2.0
NULINK,6.0
NUTELECOM,4.0
NWF-IFIBER-ASN-2,12.0
NWF-LOCALTEL-ASN-1,7.0
NYBULA,2560.0
National Internet Backbone,163.0
National Telecommunication Corporation HQ,64.0
Netcom Africa,1.0
Netia SA,2.0
Netiface Limited,216.0
Netorn LLC,2.0
"NextGenWebs, S.L.",164.0
Nikem Net Ltd.,2.0
"No.293,Wanbao Avenue",3.0
"Noor Al-Bedaya for General Trading, agricultural investments, Technical production and dist",4.0
"O2 Czech Republic, a.s.",2.0
OARNET-AS,4.0
OBERLIN-NET,1.0
OCEANIC-INTERNET-RR,6.0
ODS ONLINE DATA SOLUTION JOINT STOCK COMPANY,25.0
OEC-FIBER,30.0
OECONNECT,2.0
OFN,11.0
OMEGA-TX,8.0
OMNI-FIBER,16.0
OMNITEL,2.0
OMU-1,13.0
ONECLEVELAND,9.0
ONERINGNET-ATL-1,69.0
ONPOINT-BROADBAND,19.0
ONTARIONET-01,2.0
ONYPHE SAS,1117.0
OPENCAPE,2.0
OPTICALTEL,10.0
OPTIMUM-WIFI2,5.0
ORANGE-COUNTY-BROADBAND-AUTHORITY,7.0
ORBITEL,13.0
ORI-NET,8.0
ORLANDOTELCO,34.0
OTELCO-MA,2.0
OVH SAS,2184.0
OZARKSGO,12.0
One Albania Sh.a.,2.0
Online Server Telekomunikasyon Limited Sirketi,9.0
Onur Ekren,103.0
Optimal Solutions Technology Company for information Technology and software solutions Ltd,12965.0
Orlandonet ltd.,2.0
Owl Limited,1.0
PACLW,75.0
PARKERFIBERNET-AS-ROUTE,2.0
PATHFINDER-ASN,1.0
PATTERSONVILLE-TELCO-OHIO,2.0
PAVLOVMEDIA,115.0
PBB-OPELIKA,11.0
PBNET,9.0
PCEPA,8.0
PCL,23.0
PCTCNET-AS1,1.0
PEARLCOMMFIBER-01,22.0
PEOPLES-TELECOM-LLC,4.0
PEOPLESCOMMUNICATIONS,49.0
PFNL-ASN,4.0
PHENIXCITYCABLE,128.0
PINE-NET,2.0
PINELAND-TELEPHONE,4.0
PIONEER-CONNECT,2.0
PIONEERINTERNET,3.0
PLAINSINTERNET,11.0
PLANET,22.0
PLANET-FIBER-VA,5.0
PLATEAU,52.0
PLDI,13.0
PLTE,1.0
PLUMAS-SIERRA-TELECOMMUNICATIONS,1.0
PMTL-AS1,4.0
PMU-PARAGOULD,2.0
PNPT-ASN,2.0
POINT5-MS,2.0
PONCACITYBROADBAND,3.0
PONYNET,44.0
POWERSHIFT-PLAINFIELD-VT,5.0
PREC-ASN-01,3.0
PREMIER-COMMUNICATIONS,3.0
PREMIER-HOLDINGS-LLC,3.0
PRIME SYSTEM TELECOM,3.0
PROGRESSIVETEL,8.0
PROJ-MUT-TEL,17.0
PROTEK-COMMUNICATIONS,2.0
PRTC-LAURENS,10.0
PRTC-MCKEE,4.0
PRTC-SC,25.0
PS Internet Company LLP,122.0
PSDATA,54.0
PSLIGHTWAVE,2.0
PT BINA INFORMATIKA SOLUSI,8.0
PT Biznet Gio Nusantara,123.0
PT Cloud Hosting Indonesia,737.0
PT Giga Media Internet,3.0
PT Inti Data Telematika,632.0
PT Jinde Grup Indonesia,26.0
PT Telekomunikasi Indonesia,4.0
PT Trimitra Aditama Koneksindo,2.0
PT. Cyberindo Aditama,6.0
PT. Kreasi Sejahtera Teknologi,131.0
PTN-AS1,4.0
PUBLIC-DOMAIN-REGISTRY,2.0
PVTN,8.0
PacketHub S.A.,18.0
Pakistan Telecommunication Company Limited,448.0
Petersburg Internet Network ltd.,45.0
Pfcloud UG,947.0
Philippine Long Distance Telephone Company,152.0
Play,6.0
Private Joint Stock Company datagroup,2.0
Private Layer INC,99.0
Prospero Ooo,2.0
Proton66 OOO,575.0
Proximus NV,2.0
Pyhanet Oy,2.0
QCOL-AS,4.0
QSGIT,4.0
Qinghai Telecom,8.0
RACE,42.0
RADIOWIRE,1.0
RANCH-WIFI,3.0
RANDOLPHTELEPHONE,45.0
RAPID-FIBER-INTERNET-LLC,6.0
RCN-AS,939.0
REACH4,5.0
REACHBROADBAND,9.0
REBELTECAS,1.0
RESERVETEL,26.0
RESOUND-NET,56.0
RETHEMHOSTING,2.0
REV-NET-TECHNOLOGIES,1.0
RGC-WIRELESS,4.0
RICAWEBSERVICES,2.0
RIPPLE-BROADBAND,1.0
RISE-BROADBAND,151.0
RITTERNET,172.0
RIVERNET,19.0
RIVRTECH,14.0
ROANOKE-CONNECT-ASN-1,17.0
ROCK-HILL-TELEPHONE,614.0
ROCKETCOMM,1.0
ROGERS-COMMUNICATIONS,6.0
ROUTERHOSTING,6.0
ROYELLCOMMUNICATIONSINC,2.0
RSINET-1,2.0
RTC-NET,4.0
RTC-RINGGOLD-GA,6.0
RUCLS1,2.0
RURAL-TELEPHONE-SVCCO,5.0
RUSSEPB,2.0
